
nov 15, 2018 22:28:17.43 [27692:2764:1115/222817.438:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:18.37 [27692:2764:1115/222818.370:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:19.28 [27692:2764:1115/222819.287:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:20.17 [27692:2764:1115/222820.169:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:21.05 [27692:2764:1115/222821.054:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:21.95 [27692:2764:1115/222821.951:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:22.83 [27692:2764:1115/222822.834:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:23.72 [27692:2764:1115/222823.723:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:24.61 [27692:2764:1115/222824.616:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:25.50 [27692:2764:1115/222825.507:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:26.40 [27692:2764:1115/222826.400:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:27.30 [27692:2764:1115/222827.304:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:28.20 [27692:2764:1115/222828.200:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:29.10 [27692:2764:1115/222829.101:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:30.00 [27692:2764:1115/222830.004:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:30.90 [27692:2764:1115/222830.901:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:31.80 [27692:2764:1115/222831.799:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:32.70 [27692:2764:1115/222832.699:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:33.60 [27692:2764:1115/222833.605:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:34.49 [27692:2764:1115/222834.488:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:35.38 [27692:2764:1115/222835.386:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:36.27 [27692:2764:1115/222836.268:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:37.15 [27692:2764:1115/222837.149:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:38.01 [27692:2764:1115/222838.018:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:38.91 [27692:2764:1115/222838.908:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:39.79 [27692:2764:1115/222839.789:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:40.67 [27692:2764:1115/222840.669:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:41.55 [27692:2764:1115/222841.552:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:42.43 [27692:2764:1115/222842.431:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:43.32 [27692:2764:1115/222843.320:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:44.21 [27692:2764:1115/222844.216:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:45.10 [27692:2764:1115/222845.100:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:46.00 [27692:2764:1115/222845.999:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:46.88 [27692:2764:1115/222846.885:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:47.76 [27692:2764:1115/222847.768:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:48.66 [27692:2764:1115/222848.664:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:49.56 [27692:2764:1115/222849.567:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:50.45 [27692:2764:1115/222850.454:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:51.35 [27692:2764:1115/222851.353:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:52.25 [27692:2764:1115/222852.255:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:53.15 [27692:2764:1115/222853.149:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:54.05 [27692:2764:1115/222854.051:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:54.95 [27692:2764:1115/222854.951:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:55.84 [27692:2764:1115/222855.841:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:56.73 [27692:2764:1115/222856.737:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:57.63 [27692:2764:1115/222857.631:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:58.52 [27692:2764:1115/222858.519:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:28:59.42 [27692:2764:1115/222859.419:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:29:00.31 [27692:2764:1115/222900.313:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:29:01.21 [27692:2764:1115/222901.217:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:29:02.10 [27692:2764:1115/222902.101:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:29:03.00 [27692:2764:1115/222903.002:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:29:03.89 [27692:2764:1115/222903.890:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:29:04.78 [27692:2764:1115/222904.787:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:29:05.68 [27692:2764:1115/222905.688:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:29:06.57 [27692:2764:1115/222906.574:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:29:07.45 [27692:2764:1115/222907.453:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:29:08.33 [27692:2764:1115/222908.335:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:29:09.22 [27692:2764:1115/222909.219:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:29:10.12 [27692:2764:1115/222910.124:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:29:11.00 [27692:2764:1115/222911.003:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:29:11.95 [27692:2764:1115/222911.956:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:29:12.85 [27692:2764:1115/222912.856:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:29:13.73 [27692:2764:1115/222913.732:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:29:14.60 [27692:2764:1115/222914.602:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov 15, 2018 22:29:15.48 [27692:2764:1115/222915.485:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
